Tissue,Species,Activity,Site,Enzyme
Mantle,M. galloprovincialis,23.6992,Lab,MDH
Mantle,M. galloprovincialis,17.9032,Lab,MDH
Mantle,M. galloprovincialis,20.8012,Lab,MDH
Mantle,M. galloprovincialis,22.218,Lab,MDH
Mantle,M. galloprovincialis,17.2592,Lab,MDH
Mantle,M. galloprovincialis,27.8852,Lab,MDH
Mantle,M. galloprovincialis,15.7136,Lab,MDH
Mantle,M. galloprovincialis,17.7744,Lab,MDH
Adductor Muscle,M. trossulus,57.48773,Field,MDH
Adductor Muscle,M. trossulus,87.1976,Field,MDH
Adductor Muscle,M. trossulus,124.7643,Field,MDH
Adductor Muscle,M. trossulus,84.8792,Field,MDH
Adductor Muscle,M. trossulus,83.076,Field,MDH
Adductor Muscle,M. trossulus,125.3653,Field,MDH
Adductor Muscle,M. trossulus,138.8464,Field,MDH
Adductor Muscle,M. trossulus,111.0256,Field,MDH
Adductor Muscle,M. trossulus,81.9168,Field,MDH
Adductor Muscle,M. trossulus,130.3456,Field,MDH
Adductor Muscle,M. trossulus,96.4712,Field,MDH
Adductor Muscle,M. trossulus,130.088,Field,MDH
Adductor Muscle,M. galloprovincialis,70.6468,Field,MDH
Adductor Muscle,M. galloprovincialis,66.2676,Field,MDH
Adductor Muscle,M. galloprovincialis,53.3876,Field,MDH
Adductor Muscle,M. galloprovincialis,80.9508,Field,MDH
Adductor Muscle,M. galloprovincialis,82.0456,Field,MDH
Adductor Muscle,M. galloprovincialis,80.4356,Field,MDH
Adductor Muscle,M. galloprovincialis,83.3336,Field,MDH
Adductor Muscle,M. galloprovincialis,81.5304,Field,MDH
Adductor Muscle,M. galloprovincialis,57.78827,Field,MDH
Adductor Muscle,Hybrid,49.1372,Field,MDH
Adductor Muscle,Hybrid,119.2044,Field,MDH
Adductor Muscle,Hybrid,72.8364,Field,MDH
Adductor Muscle,Hybrid,67.7488,Field,MDH
Adductor Muscle,Hybrid,95.35494,Field,MDH
Adductor Muscle,Hybrid,114.31,Field,MDH
Adductor Muscle,Hybrid,87.7128,Field,MDH
Adductor Muscle,Hybrid,112.6356,Field,MDH
Adductor Muscle,Hybrid,90.804,Field,MDH
Adductor Muscle,Hybrid,125.1936,Field,MDH
Adductor Muscle,Hybrid,95.634,Field,MDH
Adductor Muscle,Hybrid,143.2256,Field,MDH
Adductor Muscle,Hybrid,64.7864,Field,MDH
